"ESP_COD_FAO"	"ESP_LIB_FAO_FRANCAIS"
"LYH"	"Amblydoras hancockii"
"ADG"	"Anadoras grypus"
"AZA"	"Anduzedoras arleoi"
"ADV"	"Apuredoras rivasi"
"OXK"	"Oxydoras kneri"
"ATF"	"Astrodoras asterifrons"
"ADM"	"Autanadoras milesi"
"THK"	"Centrochir crocodili"
"UDZ"	"Pseudamia zonata"
"UDG"	"Pseudamiops gracilicauda"
"TGK"	"Pterapogon kauderni"
"RBG"	"Rhabdamia gracilis"
"FMV"	"Siphamia versicolor"
"FMN"	"Sphaeramia nematoptera"
"VIC"	"Vincentia chrysura"
"AKH"	"Acropoma hanedai"
"OGA"	"Apogonops anomalus"
"OEB"	"Doederleinia berycoides"
"MKW"	"Malakichthys wakiyae"
"NSY"	"Neoscombrops cynodon"
"NSW"	"Neoscombrops pacificus"
"PWN"	"Pseudohowella intermedia"
"SYN"	"Maconde bouche noire"
"VEO"	"Verilus sordidus"
"FPE"	"Perche européenne"
"FPY"	"Perchaude"
"PKI"	"Perca schrenkii"
"AYP"	"Ammocrypta clara"
"AYU"	"Ammocrypta pellucida"
"ROV"	"Romanichthys valsanicola"
"PND"	"Percarina"
"ACC"	"Grémille"
"GYU"	"Gymnocephalus acerinus"
"GYL"	"Gymnocephalus baloni"
"GYZ"	"Gymnocephalus schraetser"
"EHE"	"Etheostoma blennioides"
"EHA"	"Etheostoma caeruleum"
"EHR"	"Dard barré"
"EHP"	"Etheostoma pottsii"
"PJB"	"Percina caprodes"
"ZIZ"	"Zingel zingel"
"STV"	"Sandre américain"
"SAV"	"Sander volgensis"
"FPP"	"Sandre"
"SZC"	"Sandre canadien"
"SIV"	"Pêche-madame moucheté"
"SIJ"	"Pêche-madame camus"
"ILM"	"Pêche-madame trompette"
"ILS"	"Pêche-madame argenté"
"SLK"	"Pêche-madame sable"
"ILQ"	"Pêche-madame peren"
"ULA"	"Caulolatilus affinis"
"ULM"	"Tile gris"
"ULP"	"Tile fin"
"CKZ"	"Tile oeil doré"
"TIH"	"Branchiostegus japonicus"
"TIZ"	"Branchiostegus wardi"
"FGV"	"Lopholatilus villarii"
"TIL"	"Tile chameau"
"HLY"	"Hoplolatilus chlupatyi"
"HPK"	"Hoplolatilus starcki"
"MBV"	"Matajuel nez-court"
"AKE"	"Anisochromis kenyae"
"BMS"	"Blennodesmus scapularis"
"CDB"	"Chlidichthys bibulus"
"CGC"	"Congrogadus amplimaculatus"
"CFR"	"Cypho purpurascens"
"HDC"	"Halidesmus coccus"
"BPS"	"Grammonus diagrammus"
"GTL"	"Gunterichthys longipenis"
"LUX"	"Lucifuga dentatus"
"MXM"	"Monothrix mizolepis"
"OGY"	"Ogilbia cayorum"
"SGE"	"Stygnobrotula latebricola"
"TLI"	"Thalassobathia pelagica"
"AYV"	"Aphyonus brevidorsalis"
"BTL"	"Barathronus maculatus"
"NYK"	"Nybelinella erikssoni"
"NYE"	"Sciadonus cryptophthalmus"
"PBP"	"Parabrotula plagiophthalma"
"PFO"	"Percopsis omiscomaycus"
"PHY"	"Aphredoderus sayanus"
"ABY"	"Amblyopsis rosae"
"AYC"	"Chologaster cornuta"
"AFA"	"Forbesichthys agassizi"
"TYP"	"Speoplatyrhinus poulsoni"
"TYS"	"Typhlichthys subterraneus"
"RRB"	"Rondeletia bicolor"
"BBF"	"Barbourisia rufa"
"CJI"	"Cetichthys indagator"
"CJK"	"Cetomimus picklei"
"CJR"	"Cetostoma regani"
"..."	"Diplomystidae"
"..."	"Cranoglanididae"
"..."	"Eschrichtiidae"
"..."	"Gasteropelecidae"
"..."	"Cladophoraceae"
"AIB"	"Ambassidae"
"..."	"Serrivomeridae"
"..."	"Ceratiidae"
"..."	"Pocilloporidae"
"..."	"Turritellidae"
"..."	"Pteriidae"
"..."	"Pempheridae"
"..."	"Calappidae"
"..."	"Trichodontidae"
"..."	"Nandidae"
"..."	"Plocamiaceae"
"..."	"Personidae"
"..."	"Scytalinidae"
"..."	"Indostomidae"
"..."	"Struthiolariidae"
"..."	"Latimeriidae"
"..."	"Tetrabrachiidae"
"..."	"Pataecidae"
"..."	"Dentatherinidae"
"..."	"Gecarcinidae"
"..."	"Acanthochitonidae"
"..."	"Galaxauraceae"
"..."	"Esocidae"
"PZC"	"Alepocephalidae"
"..."	"Protopteridae"
"..."	"Acroporidae"
"..."	"Petrocelidaceae"
"..."	"Echinorhinidae"
"..."	"Plecoglossidae"
"..."	"Lepidoteuthidae"
"..."	"Arbaciidae"
"..."	"Solieriaceae"
"..."	"Rhyacichthyidae"
"..."	"Ischnochitonidae"
"..."	"Onychoteuthidae"
"..."	"Neobalaenidae"
"..."	"Pseudosquillidae"
"..."	"Aulopidae"
"..."	"Echinidae"
"..."	"Banjosidae"
"..."	"Oxynotidae"
"..."	"Kurtidae"
"..."	"Neritidae"
"..."	"Hemitripteridae"
"..."	"Rhincodontidae"
"..."	"Dermochelyidae"
"..."	"Ceramiaceae"
"..."	"Cottocomephoridae"
"..."	"Microhylidae"
"..."	"Harpiosquillidae"
"..."	"Stichaeidae"
"..."	"Posidoniaceae"
"..."	"Moronidae"
"..."	"Hypoptychidae"
"..."	"Labrisomidae"
"..."	"Melanonidae"
"..."	"Semelidae"
"..."	"Chirocentridae"
"..."	"Leptodactylidae"
"..."	"Leptobramidae"
"..."	"Gyrinocheilidae"
"..."	"Parakysidae"
"..."	"Melampidae"
"..."	"Callianassidae"
"..."	"Percichthyidae"
"..."	"Radiicephalidae"
"..."	"Chlamydoselachidae"
"..."	"Lottiidae"
"..."	"Ostracoberycidae"
"..."	"Amblyopsidae"
"..."	"Fissurelidae"
"..."	"Percopsidae"
"PEY"	"Scopelarchidae"
"..."	"Scatophagidae"
"MSO"	"Mesoborus crocodilus"
"IHB"	"Ichthyborus besse"
"HMT"	"Hemistichodus lootensi"
"EYJ"	"Thryssa brevicauda"
"EPH"	"Anchois grande aile"
"CDC"	"Denticeps clupeoides"
"DOB"	"Chirocentre dorab"
"CNU"	"Chirocentre sabre"
"PIM"	"Alose à gros yeux"
"PIE"	"Alose indienne"
"EIL"	"Alose gracile"
"PIF"	"Ilisha filigera"
"PIP"	"Ilisha pristigastroides"
"PIU"	"Alose lame"
"ILI"	"Alose rasoir"
"PEQ"	"Alose-écaille fluviale"
"PEO"	"Alose-écaille indienne"
"PEM"	"Poisson-papier jaune"
"PNR"	"Menhaden plat"
"PHT"	"Poisson-papier tarture"
"PNA"	"Poisson-papier guyanais"
"PRN"	"Pristigaster cayana"
"PRU"	"Raconda russeliana"
"MIL"	"Chano"
"KCN"	"Cromeria nilotica"
"KGA"	"Grasseichthys gabonensis"
"KKA"	"Kneria auriculata"
"KPA"	"Parakneria abbreviata"
"GPH"	"Phractolaemus ansorgii"
"GGG"	"Caduchon"
"SAJ"	"Acantholingua ohridana"
"SAL"	"Saumon de l'Atlantique"
"TRS"	"Truite de mer"
"SFC"	"Salmo carpio"
"SFX"	"Salmo ferox"
"SFF"	"Salmo fibreni"
"SFI"	"Salmo ischchan"
"SFM"	"Salmo marmoratus"
"SVS"	"Salvethymus svetovidovi"
"ONA"	"Truite dorée"
"PIN"	"Saumon rose"
"CHU"	"Saumon chien"
"ONC"	"Oncorhynchus clarkii"
"CHE"	"Saumon du Japon"
"SOC"	"Saumon rouge"
"CHI"	"Saumon royal"
"COH"	"Saumon argenté"
"TRR"	"Truite arc-en-ciel"
"ONH"	"Oncorhynchus apache"
"ONY"	"Oncorhynchus chrysogaster"
"ONG"	"Oncorhynchus gilae"
"ONR"	"Oncorhynchus rhodurus"
"SWI"	"Salvelinus willoughbii"
"SVF"	"Saumon de fontaine"
"SLE"	"Salvelinus leucomaenis"
"ACH"	"Omble-chevalier"
"VAR"	"Omble du Pacifique"
"LAT"	"Touladi(=Omble du Canada)"
"SVO"	"Salvelinus confluentus"
"SVN"	"Salvelinus neiva"
"SVP"	"Salvelinus profundus"
"SOB"	"Salmothymus obtusirostris"
"HUI"	"Hucho ishikawae"
"HUC"	"Huchon"
"HUP"	"Hucho perryi"
"SBE"	"Brachymystax lenok"
"TLV"	"Ombre commun"
"TYE"	"Thymallus brevirostris"
"TLA"	"Ombre arctique"
"PCA"	"Ayu"
"OAE"	"Allosmerus elongatus"
"CAP"	"Capelan"
"SME"	"Éperlan européen"
"SMR"	"Éperlan arc-en-ciel"
"PSM"	"Éperlan à petite bouche"
"SUS"	"Éperlan du Pacifique"
"HVJ"	"Hypomesus nipponensis"
"EUL"	"Eulakane"
"OSY"	"Spirinchus thaleichthys"
"ARE"	"Argentina elongata"
"ARO"	"Argentina kagoshimae"
"ARU"	"Grande argentine"
"ARY"	"Petite argentine"
"DES"	"Argentina du Pacifique"
"GLI"	"Argentine à petites dents"
"BLH"	"Leuroglossus schmidti"
"BAA"	"Bathylagus antarcticus"
"NRB"	"Centrodoras brachiatus"
"DDG"	"Deltadoras guayoensis"
"DPZ"	"Doraops zuloagai"
"DRV"	"Doras brevis"
"FCM"	"Franciscodoras marmoratus"
"HSA"	"Hassar affinis"
"HDM"	"Hemidoras morrisi"
"HDB"	"Hildadoras bolivarensis"
"HDZ"	"Hoplodoras ramirezi"
"HDF"	"Hypodoras forficulatus"
"LTC"	"Leptodoras acipenserinus"
"LDD"	"Lithodoras dorsalis"
"MGW"	"Megalodoras irwini"
"NMB"	"Nemadoras bachi"
"ODO"	"Opsodoras boulengeri"
"OCG"	"Orinocodoras eigenmanni"
"PYL"	"Physopyxis lyra"
"PYS"	"Silure rayé"
"DPH"	"Pseudodoras holdeni"
"DSU"	"Sachsdoras apurensis"
"DSH"	"Scorpiodoras heckelii"
"DTA"	"Trachydoras atripes"
"DWM"	"Wertheimeria maculata"
"DZG"	"Zathorax gonzalezi"
"DPG"	"Pterodoras granulosus"
"DRD"	"Rhinodoras dorbignyi"
"DRW"	"Rhynchodoras woodsi"
"AYB"	"Asterophysus batrachus"
"AYL"	"Auchenipterichthys longimanus"
"AEI"	"Auchenipterus nigripinnis"
"CMX"	"Centromochlus existimatus"
"EMJ"	"Entomocorus benjamini"
"EPO"	"Epapterus blohmi"
"GGS"	"Gelanoglanis stroudi"
"GDA"	"Glanidium albescens"
"TYJ"	"Trachycorystes cratensis"
"TYL"	"Trachycorystes striatulus"
"TYY"	"Trachycorystes trachycorystes"
"LMU"	"Liosomadoras oncinus"
"PDC"	"Pseudepapterus cucuhyensis"
"PDV"	"Pseudotatia parva"
"TAT"	"Tatia altae"
"TYG"	"Taunayia marginata"
"TSE"	"Tocantinsia depressa"
"TYU"	"Trachelyichthys decaradiatus"
"TYZ"	"Trachelyopterichthys anduzei"
"TYR"	"Trachelyopterus coriaceus"
"PSX"	"Parauchenipterus albicrux"
"TMQ"	"Tetranematichthys quadrifilis"
"TMA"	"Tympanopleura alta"
"GNT"	"Ageneiosus atronasus"
"GNV"	"Ageneiosus brevis"
"GNU"	"Ageneiosus dentatus"
"GNM"	"Ageneiosus madeirensis"
"GNL"	"Ageneiosus melanopogon"
"GNN"	"Ageneiosus parnaguensis"
"GNY"	"Ageneiosus polystictus"
"GNO"	"Ageneiosus rondoni"
"GNH"	"Ageneiosus therezine"
"GNK"	"Ageneiosus ucayalensis"
"GNW"	"Ageneiosus uruguayensis"
"GNI"	"Ageneiosus valenciennesi"
"GNJ"	"Ageneiosus vittatus"
"GNQ"	"Ageneiosus marmoratus"
"ATD"	"Anodontiglanis dahli"
"CNM"	"Cnidoglanis macrocephalus"
"EHL"	"Euristhmus lepturus"
"NSA"	"Neosilurus argenteus"
"NST"	"Neosilurus ater"
"NSB"	"Neosilurus brevidorsalis"
"OLU"	"Oloplotosus luteus"
"PMK"	"Porochilus meraukensis"
"PUN"	"Plotosus canius"
"PII"	"Plotosus lineatus"
"PPQ"	"Plotosus papuensis"
"PNK"	"Plotosus nkunga"
"POJ"	"Plotosus limbatus"
"PLB"	"Paraplotosus albilabris"
"TDT"	"Tandanus tandanus"
"TDK"	"Tandanus bostocki"
"SBI"	"Belodontichthys dinema"
"VMA"	"Maquereau espagnol atlantique"
"..."	"Pseudocarchariidae"
"DRJ"	"Grand pocheteau gris"
"..."	"Apistidae"
"..."	"Mastacembelidae"
"..."	"Bythitidae"
"..."	"Auchenipteridae"
"..."	"Centrophrynidae"
"..."	"Pasiphaeidae"
"..."	"Rhizostomidae"
"..."	"Enoplometopidae"
"..."	"Elassomatidae"
"..."	"Denticipitidae"
"..."	"Sphaerococcaceae"
"..."	"Prochaetodermatidae"
"..."	"Pipidae"
"..."	"Brachioteuthidae"
"..."	"Goodeidae"
"..."	"Erythrinidae"
"..."	"Lysiosquillidae"
"..."	"Aristaeidae"
"..."	"Dondersiidae"
"..."	"Zanclidae"
"..."	"Laternulidae"
"..."	"Polypteridae"
"..."	"Isognomonidae"
"..."	"Amarsipidae"
"..."	"Iniidae"
"..."	"Rhamphichthyidae"
"..."	"Triacanthidae"
"..."	"Schindleriidae"
"..."	"Centrarchidae"
"..."	"Pseudotrichonotidae"
"..."	"Linophrynidae"
"..."	"Opisthoteuthidae"
"..."	"Pyuridae"
"..."	"Helogeneidae"
"..."	"Trichonotidae"
"..."	"Ctenopterygidae"
"..."	"Leptochariidae"
"..."	"Cepolidae"
"..."	"Doradidae"
"..."	"Opistognathidae"
"..."	"Congiopodidae"
"..."	"Megalopidae"
"..."	"Odacidae"
"..."	"Neoscopelidae"
"..."	"Nematistiidae"
"..."	"Himanthaliaceae"
"..."	"Osmeridae"
"..."	"Orectolobidae"
"..."	"Myidae"
"..."	"Chiroteuthidae"
"..."	"Cetorhinidae"
"..."	"Dromiidae"
"..."	"Psychrolutidae"
"..."	"Fistulariidae"
"..."	"Pegasidae"
"..."	"Dugongidae"
"..."	"Pantodontidae"
"..."	"Furcellariaceae"
"..."	"Polyprionidae"
"..."	"Glyphocrangonidae"
"..."	"Gibberichthyidae"
"..."	"Parazenidae"
"..."	"Turridae"
"..."	"Mopaliidae"
"..."	"Aulostomidae"
"..."	"Kogiidae"
"..."	"Euclichthyidae"
"..."	"Hemidonacidae"
"..."	"Nettastomatidae"
"OEY"	"Mormyridae"
"..."	"Siphonariidae"
"..."	"Volutidae"
"..."	"Aequoreidae"
"..."	"Synbranchidae"
"..."	"Lepidogalaxiidae"
"..."	"Plotosidae"
"..."	"Coelacanthiformes"
"..."	"Thoracica"
"..."	"Fissipedia"
"..."	"Cyprinodontiformes"
"OCX"	"Orectolobiformes"
"BFY"	"Bacillariophyceae"
"..."	"Polyplacophora"
"..."	"Aulopiformes"
"..."	"Synbranchiformes"
"HDQ"	"Heterodontiformes"
"..."	"Cladocera"
"ISH"	"Isopoda"
"..."	"Albuliformes"
"..."	"Squamata"
"..."	"Beryciformes"
"..."	"Lophiiformes"
"..."	"Thaliacea"
"..."	"Ciconiiformes"
"..."	"Lampriformes"
"..."	"Gobioidei"
"..."	"Cetomimiformes"
"..."	"Ophidiiformes"
"PWJ"	"Pycnogonida"
"..."	"Crustacea Miscellanea"
"..."	"Tetraodontiformes"
"..."	"Sphenisciformes"
"..."	"Ceratodontiformes"
"..."	"Polypteriformes"
"..."	"Amiiformes"
"..."	"Testudines"
"..."	"Pisces miscellanea"
"..."	"Pinnipedia"
"..."	"Gonorynchiformes"
"TVN"	"Tanaidacea"
"..."	"Rotifera"
"..."	"Siluriformes"
"..."	"Stomiiformes"
"..."	"Mugiliformes"
"..."	"Clupeiformes"
"..."	"Acipenseriformes"
"..."	"Zeiformes"
"..."	"Plantae aquaticae miscellanea"
"..."	"Ctenophora"
"AQM"	"Amphipoda"
"..."	"Esociformes"
"..."	"Euphausiacea"
"HXW"	"Hexanchiformes"
"..."	"Xiphosura"
"..."	"Saccopharyngiformes"
"..."	"Gasterosteiformes"
"..."	"Elopiformes"
"..."	"Scorpaeniformes"
"SZY"	"Scyphozoa"
"..."	"Stromateoidei, anabantoidei"
"..."	"Salmoniformes"
"..."	"Other perciformes"
"..."	"Gymnotiformes"
"..."	"Mollusca miscellanea"
"..."	"Osteoglossiformes"
"CVX"	"Carcharhiniformes"
"..."	"Invertebrata aquatica miscell."
"..."	"Characiformes"
"..."	"Sirenia"
"..."	"Mammalia miscellanea"
"..."	"Procellariiformes"
"..."	"Acanthuroidei"
"..."	"Batrachoidiformes"
"..."	"Cypriniformes"
"TOF"	"Torpilles, raies él., etc. nca"
"..."	"Lepisosteiformes"
"..."	"Aplacophora"
"..."	"Anura"
"..."	"Beloniformes"
"..."	"Lepidosireniformes"
"..."	"Myctophiformes"
"..."	"Zoarcoidei"
"..."	"Atheriniformes"
"..."	"Crocodilia"
"..."	"Anostraca"
"DMO"	"Demospongiae"
"..."	"Trachinoidei"
"..."	"Gobiesociformes"
"..."	"Charadriiformes"
"YBK"	"Cyanophyceae"
"DFY"	"Dinophyceae"
"..."	"Syngnathiformes"
"..."	"Petromyzontiformes"
"AJH"	"Anthozoa"
"..."	"Sipuncula"
"..."	"Scaphopoda"
"..."	"Notacanthiformes"
"BBE"	"Garcette-goitre"
"BBG"	"Bathylagus gracilis"
"BBO"	"Bathylagus ochotensis"
"BBP"	"Bathylagus pacificus"
"MXA"	"Xenophthalmichthys danae"
"MMI"	"Microstoma microstoma"
"MNA"	"Nansenia ardesiaca"
"NSZ"	"Nansenia antarctica"
"SNJ"	"Neosalanx jordani"
"PRS"	"Protosalanx hyalocranius"
"SNN"	"Salanx ariakensis"
"SNH"	"Salangichthys ishikawae"
"SZM"	"Salangichthys microdon"
"RPE"	"Prototroctes maraena"
"SKN"	"Stokellia anisodon"
"RRR"	"Retropinna retropinna"
"FVE"	"Corégone blanc"
"PLN"	"Corégone lavaret"
"HOU"	"Bondelle"
"CIE"	"Coregonus fera"
"CIH"	"Coregonus hiemalis"
"CIP"	"Coregonus pollan"
"CIG"	"Coregonus wartmanni"
"CIR"	"Coregonus macrophthalmus"
"WHL"	"Corégone de lac"
"CIS"	"Cisco de lac"
"CIA"	"Coregonus autumnalis"
"CIC"	"Coregonus chadary"
"CIY"	"Coregonus hoyi"
"CIK"	"Coregonus kiyi"
"CIN"	"Coregonus muksun"
"CIQ"	"Coregonus nasus"
"CII"	"Coregonus nilssoni"
"CIJ"	"Coregonus peled"
"CIZ"	"Coregonus reighardi"
"CIW"	"Coregonus sardinella"
"CIU"	"Coregonus tugun"
"CIB"	"Coregonus widegreni"
"SDL"	"Stenodus leucichthys"
"PCU"	"Prosopium coulterii"
"PCY"	"Prosopium cylindraceum"
"PWI"	"Prosopium williamsoni"
"OBE"	"Bathylychnops exilis"
"ODB"	"Dolichopteryx binocularis"
"OMQ"	"Macropinna microstoma"
"OOI"	"Opisthoproctus grimaldii"
"OOL"	"Opisthoproctus soleatus"
"OYT"	"Rhynchohyalus natalensis"
"OWT"	"Winteria telescopa"
"AQC"	"Asquamiceps caeruleus"
"AJB"	"Bajacalifornia burragei"
"AYN"	"Bathylaco nielseni"
"AYD"	"Bathyprion danae"
"AYM"	"Bathytroctes microlepis"
"AKO"	"Bellocia koefoedi"
"ALC"	"Alépocéphale de Baird"
"PHL"	"Alepocephalus longiceps"
"PHO"	"Caussinie"
"AFI"	"Conocara fiolenti"
"AEE"	"Einara edentula"
"AEN"	"Ericara niger"
"AEK"	"Herwigia kreffti"
"AEL"	"Leptoderma lubricum"
"MCI"	"Microphotolepis multipunctata"
"MRO"	"Mirognathus normani"
"NAE"	"Narcetes erimelas"
"PHP"	"Photostylus pycnopterus"
"RIN"	"Rinoctes nasutus"
"ROT"	"Rouleina attrita"
"AXC"	"Gymnaste atlantique"
"TAB"	"Talismania bifurcata"
"PBC"	"Barbantus curvifrons"
"PHN"	"Holtbyrnia anomala"
"PMU"	"Maulisia acuticeps"
"PMR"	"Mentodus crassus"
"PMO"	"Normichthys operosus"
"PFA"	"Pellisolus facilis"
"PPK"	"Persparsia kopua"
"PYM"	"Platytroctegen mirus"
"PYA"	"Platytroctes apus"
"PSA"	"Sagamichthys abei"
"PSO"	"Searsia koefoedi"
"PTR"	"Tragularius mesalirus"
"LLA"	"Lepidogalaxias salamandroides"
"LLG"	"Leptochilichthys agassizii"
"SGS"	"Ceratoglanis scleronema"
"HHT"	"Hemisilurus heterorhynchus"
"HTY"	"Hito taytayensis"
"PWK"	"Pinniwallago kanpurensis"
"PYF"	"Pterocryptis afghana"
"THY"	"Silurichthys citatus"
"SOM"	"Silure glane"
"SRO"	"Silurus asotus"
"SUW"	"Silurus biwaensis"
"UST"	"Silurus triostegus"
"KTC"	"Kryptopterus cryptopterus"
"KTB"	"Kryptopterus bicirrhis"
"KTM"	"Kryptopterus macrocephalus"
"OKB"	"Ompok bimaculatus"
"OKP"	"Ompok pabda"
"WAA"	"Wallago attu"
"KTA"	"Phalacronotus apogon"
"KTK"	"Phalacronotus bleekeri"
"KTD"	"Phalacronotus micronemus"
"BMH"	"Amarginops hildae"
"BGA"	"Aorichthys aor"
"AUO"	"Auchenoglanis occidentalis"
"AUB"	"Auchenoglanis biscutatus"
"AUS"	"Austroglanis sclateri"
"BTT"	"Batasio batasio"
"BTR"	"Bathybagrus tetranema"
"BCA"	"Chandramara chandramara"
"CGW"	"Coreobagrus ichikawai"
"BGC"	"Gephyroglanis congicus"
"BGH"	"Bagrichthys hypselopterus"
"BGM"	"Bagrichthys macropterus"
"BGL"	"Bagroides melapterus"
"NGP"	"Notoglanidium pallidum"
"BGD"	"Gnathobagrus depressus"
"BHB"	"Hemibagrus baramensis"
"BMD"	"Hemibagrus wyckii"
"BHO"	"Horabagrus brachysoma"
"PGI"	"Parauchenoglanis akiri"
"PGG"	"Parauchenoglanis guttatus"
"PGO"	"Parauchenoglanis macrostoma"
"LUA"	"Liauchenoglanis maculatus"
"LPQ"	"Lophiobagrus aquilus"
"PIT"	"Pardiglanis tarabinii"
"LCE"	"Leiocassis siamensis"
"LLZ"	"Leiocassis longirostris"
"BMC"	"Mystus cavasius"
"BMG"	"Mystus gulio"
"MYN"	"Hemibagrus nemurus"
"BMT"	"Mystus tengara"
"BMV"	"Mystus vittatus"
"BMM"	"Mystus micracanthus"
"BMZ"	"Mystus nigriceps"
"BCS"	"Chrysichthys mabusi"
"CSR"	"Chrysichthys nigrodigitatus"
"BCY"	"Chrysichthys auratus"
"BCT"	"Chrysichthys maurus"
"BCR"	"Chrysichthys brachynema"
"BCI"	"Chrysichthys cranchii"
"BCG"	"Chrysichthys grandis"
"BCN"	"Chrysichthys longipinnis"
"BCJ"	"Chrysichthys ornatus"
"CLW"	"Clarotes bidorsalis"
"RRT"	"Rita rita"
"BGJ"	"Bagrus bajad"
"BGK"	"Bagrus docmak"
"BGE"	"Bagrus meridionalis"
"BHE"	"Rheoglanis dendrophorus"
"BPU"	"Pseudobagrus aurantiacus"
"BPD"	"Platyglanis depierrei"
"PLU"	"Phyllonemus typus"
"YCH"	"Pelteobagrus fulvidraco"
"ICB"	"Ictalurus balsanus"
"ITP"	"Barbue de rivière"
"ICU"	"Ictalurus australis"
"ITF"	"Ictalurus furcatus"
"ICD"	"Ictalurus dugesii"
"ICL"	"Ictalurus lupus"
"ICM"	"Ictalurus mexicanus"
"ICO"	"Ictalurus ochoterenai"
"ICP"	"Ictalurus pricei"
"ITC"	"Ameiurus catus"
"IAB"	"Ameiurus brunneus"
"IAP"	"Ameiurus platycephalus"
"IAS"	"Ameiurus serracanthus"
"..."	"Atyidae"
"..."	"Solecurtidae"
"NCL"	"Paphia spp"
"TQZ"	"Tresus spp"
"SSD"	"Spisules nca"
"MUN"	"Mactres taquille"
"DON"	"Olives de mer"
"RAZ"	"Couteaux Solen nca"
"MWA"	"Mye nca"
"CLF"	"Clams d'eau douce nca"
"TQY"	"Jambonneaux nca"
"TWL"	"Tellines nca"
"IAX"	"Seiches nca"
"SQC"	"Calmars Loligo nca"
"OUW"	"Casserons nca"
"SQT"	"Calmars doigtier nca"
"OMM"	"Faux encornets nca"
"ILL"	"Encornets rouges nca"
"UHX"	"Cornets Moroteuthis nca"
"GAX"	"Argonautes nca"
"PRD"	"Élédones antarctiques"
"OCZ"	"Poulpes nca"
"OCM"	"Élédones communes et musquées"
"BRC"	"Encornets bras courts nca"
"MEP"	"Mesoplodon spp"
"GLO"	"Globicephala spp"
"DSP"	"Dauphins tachetés nca"
"FRG"	"Grenouilles"
"PQW"	"Puffinus spp"
"PTZ"	"Procellaria spp"
"MBX"	"Macronectes spp"
"PWX"	"Pachyptila spp"
"PWW"	"Pétrels des neiges nca"
"FGZ"	"Fregetta spp"
"SVZ"	"Sterna spp"
"LHX"	"Larus spp"
"HVX"	"Hippospongia spp"
"QGX"	"Spongia spp"
"JEL"	"Méduses nca"
"COR"	"Coraux précieux nca"
"HQT"	"Antipathes spp"
"KRH"	"Cirrhipathes spp"
"KQL"	"Acanella spp"
"PEI"	"Perinereis spp"
"URC"	"Oursins nca"
"SIZ"	"Spirulina nca"
"CAU"	"Algues caulerpes"
"UDS"	"Algues wakamé nca"
"EOZ"	"Lessonia spp"
"GQO"	"Varechs géants nca"
"UCU"	"Fucus spp"
"YFQ"	"Phyllophora nca"
"YGN"	"Gymnogongrus spp"
"EMX"	"Eucheuma spp"
"LIT"	"Lithothamnion spp"
"GLS"	"Algues gracilaires"
"LGY"	"Iridea nca"
"FYS"	"Nori nca"
"ASR"	"Algues harpon"
"GEL"	"Algues gélidium"
"KFF"	"Callophyllis spp"
"CJW"	"Tule nca"
"LAU"	"Lamproie marine"
"LAR"	"Lamproie de rivière"
"LAO"	"Lamproie du Pacifique"
"LAY"	"Lamproie argentée"
"LAF"	"Lamproie ukrainienne"
"LAE"	"Lamproie saccifère"
"LAK"	"Lamproie australienne"
"LAW"	"Lamproie caspienne"
"MYP"	"Paramyxine atami"
"MYG"	"Myxine"
"MYE"	"Nemamyxine elongata"
"MYB"	"Eptatretus burgeri"
"MYU"	"Eptatretus stoutii"
"HEF"	"Requin dormeur cornu"
"HEG"	"Requin dormeur à crête"
"HEJ"	"Requin dormeur nekozame"
"HEM"	"Requin dormeur buffle"
"HEK"	"Requin dormeur taureau"
"HEQ"	"Requin dormeur bouledogue"
"HEA"	"Requin dormeur chabot"
"HEZ"	"Requin dormeur zébré"
"HXC"	"Requin lézard"
"SBL"	"Requin griset"
"HXN"	"Requin-vache"
"HXT"	"Requin perlon"
"NTC"	"Platnez"
"BSK"	"Pèlerin"
"CCT"	"Requin taureau"
"LMZ"	"Lamniformes"
"..."	"Percopsiformes"
"..."	"Myxiniformes"
"SHX"	"Squaliformes nca"
"SRX"	"Raies, pastenagues, mantes nca"
"HOL"	"Chimères, etc. nca"
"DCX"	"Clupéoidés diadromes nca"
"CLU"	"Clupéoidés nca"
"SLX"	"Salmonoidés nca"
"FSI"	"Silurides d'eau douce nca"
"GAD"	"Gadiformes nca"
"PRC"	"Percoides nca"
"TUX"	"Poissons type thon nca"
"FLX"	"Poissons plats nca"
"FRF"	"Poissons d'eau douce nca"
"GRO"	"Poissons de fond nca"
"PEL"	"Poissons pélagiques nca"
"FIN"	"Poissons téléostéens nca"
"MZZ"	"Poissons marins nca"
"DPX"	"Percomorphes démersaux nca"
"PPX"	"Percomorphes pélagiques nca"
"DIA"	"Poissons diadromes nca"
"BAI"	"Batoïdes nca"
"SKH"	"Requins divers nca"
"SKX"	"Requins, raies, etc. nca"
"CAR"	"Poissons cartilagineux nca"
"DWS"	"Requins de profondeur nca"
"JPP"	"Copépodes"
"SVX"	"Stomatopodes nca"
"DCP"	"Décapodes natantia nca"
"LOX"	"Langoustes, homards nca"
"AYS"	"Écrevisses euro-américain. nca"
"NUQ"	"Décapodes anomura nca"
"CRA"	"Crabes de mer nca"
"FCX"	"Crustacés d'eau douce nca"
"CRU"	"Crustacés marins nca"
"GAS"	"Gastropodes nca"
"CLX"	"Palourdes, etc. nca"
"CEP"	"Céphalopodes nca"
